time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-04T21:33:40.865Z,60.2254,-140.9944,11.2,2.1,ml,,,,0.64,ak,ak019e5q85jq,2019-11-04T21:45:12.846Z,"81km ENE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-11-04T21:32:49.210Z,19.1846676,-155.4418335,37.17,2.16,md,49,143,0.03485,0.1,hv,hv71216306,2019-11-04T21:38:30.700Z,"4km ESE of Pahala, Hawaii",earthquake,0.7,0.63,0.12,17,automatic,hv,hv
2019-11-04T21:24:58.350Z,63.5383,-150.9989,2,1.2,ml,,,,0.47,ak,ak019e5q69hm,2019-11-04T21:31:58.780Z,"103km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-11-04T21:23:07.030Z,61.4866,-149.9639,38.6,1.4,ml,,,,0.34,ak,ak019e5q5xta,2019-11-04T21:28:07.303Z,"3km S of Big Lake, Alaska",earthquake,,2,,,automatic,ak,ak
2019-11-04T21:21:54.070Z,34.317,-116.9166667,12.89,0.82,ml,15,169,0.05467,0.22,ci,ci38932343,2019-11-04T21:25:38.968Z,"8km N of Big Bear Lake, CA",earthquake,0.61,0.72,0.124,11,automatic,ci,ci
2019-11-04T21:19:37.880Z,35.883,-117.6856667,9.53,0.61,ml,12,110,0.07081,0.16,ci,ci38932327,2019-11-04T21:23:07.218Z,"21km ESE of Little Lake, CA",earthquake,0.42,1.02,0.165,8,automatic,ci,ci
2019-11-04T21:11:44.865Z,61.455,-150.7379,47.4,1.6,ml,,,,0.9,ak,ak019e5q3g3s,2019-11-04T21:23:15.538Z,"42km W of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2019-11-04T21:10:50.960Z,35.6131667,-117.4295,10.75,0.87,ml,17,78,0.03766,0.21,ci,ci38932311,2019-11-04T21:14:25.911Z,"17km S of Searles Valley, CA",earthquake,0.42,0.59,0.097,9,automatic,ci,ci
2019-11-04T21:07:54.864Z,60.1536,-151.8777,75.2,2.7,ml,,,,0.63,ak,ak019e5q2m05,2019-11-04T22:49:53.040Z,"39km SW of Cohoe, Alaska",earthquake,,1,,,automatic,ak,ak
2019-11-04T21:06:20.700Z,35.6446667,-117.4415,4.89,1.23,ml,25,58,0.06044,0.21,ci,ci38932295,2019-11-04T21:17:29.870Z,"14km SSW of Searles Valley, CA",earthquake,0.36,0.67,0.173,17,automatic,ci,ci
2019-11-04T21:02:23.050Z,46.7005,-116.8221667,-2,2.09,ml,11,72,1.311,0.22,mb,mb80370769,2019-11-04T21:58:05.090Z,"14km ESE of Moscow, Idaho",quarry blast,0.76,31.61,0.285,5,reviewed,mb,mb
2019-11-04T21:00:07.060Z,36.4266663,-121.0625,4.66,1.55,md,4,170,0.274,0.02,nc,nc73300735,2019-11-04T22:51:04.460Z,"14km SSE of Pinnacles, CA",earthquake,2.34,8.35,0.38,3,automatic,nc,nc
2019-11-04T20:52:04.484Z,45.0436,-67.0145,5,1.9,ml,,162,0.143,0.42,us,us70006383,2019-11-05T02:24:49.040Z,"5km SE of Saint Andrews, Canada",earthquake,1.5,2,0.148,6,reviewed,us,us
2019-11-04T20:47:42.600Z,33.3896667,-116.3,11.56,0.85,ml,28,132,0.02838,0.17,ci,ci38932255,2019-11-04T20:59:44.009Z,"16km NNE of Borrego Springs, CA",earthquake,0.31,0.63,0.166,24,reviewed,ci,ci
2019-11-04T20:41:34.170Z,48.0923333,-115.2431667,5.97,0.78,ml,8,189,0.365,0.17,mb,mb80370774,2019-11-04T22:10:49.020Z,"40km SE of Libby, Montana",earthquake,2.71,9.72,0.11,2,reviewed,mb,mb
